[Mon Mar 27 09:05:30.442938 2023] [php:error] [pid 2571] [client 127.0.0.1:37240] PHP Parse error:  Unclosed '{' on line 135 does not match ')' in /var/www/html/bpkad/app/Helpers/Helpers.php on line 138, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:06:44.242859 2023] [php:error] [pid 6558] [client 127.0.0.1:41974] PHP Parse error:  syntax error, unexpected identifier "f", expecting variable or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 137, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:07:45.075595 2023] [php:error] [pid 2571] [client 127.0.0.1:33100] PHP Parse error:  syntax error, unexpected identifier "dd" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 139, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:08:28.392364 2023] [php:error] [pid 7942] [client 127.0.0.1:42518] PHP Parse error:  syntax error, unexpected token ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 137, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:08:28.503267 2023] [php:error] [pid 2568] [client 127.0.0.1:42524] PHP Parse error:  syntax error, unexpected token ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 137, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:08:28.615830 2023] [php:error] [pid 8728] [client 127.0.0.1:42532] PHP Parse error:  syntax error, unexpected token ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 137, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:09:00.303737 2023] [php:error] [pid 8729] [client 127.0.0.1:52560] PHP Parse error:  syntax error, unexpected identifier "d", expecting ")" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 136, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:09:46.329268 2023] [php:error] [pid 7946] [client 127.0.0.1:33978] PHP Parse error:  syntax error, unexpected token ";", expecting ")" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 137, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:12:06.964471 2023] [php:error] [pid 2571] [client 127.0.0.1:60594] PHP Parse error:  syntax error, unexpected token ";", expecting ")" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 138, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:12:29.742379 2023] [php:error] [pid 2569] [client 127.0.0.1:51902] PHP Parse error:  syntax error, unexpected token ")", expecting ":" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 138, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:12:54.799699 2023] [php:error] [pid 2568] [client 127.0.0.1:58974] PHP Parse error:  syntax error, unexpected variable "$param3" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 137, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:13:07.977596 2023] [php:error] [pid 2571] [client 127.0.0.1:39508] PHP Parse error:  syntax error, unexpected token ";", expecting ")" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 136, referer: http://web.bpkad.test/admin
